"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.voiceoverguy.co.uk/because-i-see-voiceover","Indexable","","2","","8","8","0","2.950","44","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/penarium-game-trailer-voice","Indexable","","2","","11","11","0","4.060","44","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/rakbank-voiceover","Indexable","","2","","6","6","0","2.210","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/breda-university-of-applied-sciences-voice","Indexable","","2","","4","4","0","1.480","43","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/unesco-water-voiceover","Indexable","","2","","7","7","0","2.580","45","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/doggie-doo-voice-over","Indexable","","2","","11","10","0","3.690","44","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/big-super-hero-voiceover","Indexable","","2","","4","4","0","1.480","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/reset-app-voice","Indexable","","2","","5","5","0","1.850","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/pirate-voiceover","Indexable","","2","","6","6","0","2.210","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/pop-up-pirate-voiceover","Indexable","","2","","12","12","0","4.430","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/lego-minifigures-pirate","Indexable","","2","","6","6","0","2.210","42","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/guide-to-regional-english-accents","Indexable","","2","","5","5","0","1.850","39","31","0","16","16","0"
"https://www.voiceoverguy.co.uk/yorkshire-podcast-studio","Indexable","","2","","4","4","0","1.480","41","31","0","14","14","0"
"https://www.voiceoverguy.co.uk/super-hero-voice","Indexable","","2","","3","3","0","1.110","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/sage-one-payroll-voiceover","Indexable","","3","","4","4","0","1.480","41","31","0","14","14","0"
"https://www.voiceoverguy.co.uk/best-male-voiceover","Indexable","","3","","2","2","0","0.740","41","31","0","15","15","0"
"https://www.voiceoverguy.co.uk/zalando-voiceover","Indexable","","3","","1","1","0","0.370","40","31","0","14","14","0"
"https://www.voiceoverguy.co.uk/the-escapists-game-trailer","Indexable","","3","","9","9","0","3.320","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/marvel-spiderman-voiceover","Indexable","","3","","6","6","0","2.210","44","33","0","14","14","0"
